,Country,Year,Total_Energy_Consumption_EJ,Energy Consumption EJ,Fuel type,Region,Income group,"GDP (nominal, 2023)",GDP (abbrev.),GDP growth,Population -2023,GDP per capita,Share of World GDP
0,Canada,1965,5.000530282,0.647949159,Coal,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
1,Canada,1965,5.000530282,0.0,Geo Biomass & other,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
2,Canada,1965,5.000530282,1.257065773,Hydropower,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
3,Canada,1965,5.000530282,0.001307527,Nuclear Energy,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
4,Canada,1965,5.000530282,2.314144611,Oil,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
5,Canada,1965,5.000530282,0.0,Solar,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
6,Canada,1965,5.000530282,0.0,Wind,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
7,Canada,1966,5.323647939,0.635221303,Coal,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
8,Canada,1966,5.323647939,1.0,Geo Biomass & other,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
9,Canada,1966,5.323647939,1.39451611,Hydropower,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
10,Canada,1966,5.323647939,0.001756989,Nuclear Energy,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
11,Canada,1966,5.323647939,2.438143969,Oil,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
12,Canada,1966,5.323647939,0.0,Solar,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
13,Canada,1966,5.323647939,0.0,Wind,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
14,Canada,1967,5.566649506,0.629359782,Coal,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
15,Canada,1967,5.566649506,0.0,Geo Biomass & other,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
16,Canada,1967,5.566649506,1.42564261,Hydropower,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
17,Canada,1967,5.566649506,0.001562903,Nuclear Energy,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
18,Canada,1967,5.566649506,2.603182316,Oil,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
19,Canada,1967,5.566649506,0.0,Solar,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
20,Canada,1967,5.566649506,0.0,Wind,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
21,Canada,1968,5.924124717,0.683746278,Coal,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
22,Canada,1968,5.924124717,0.0,Geo Biomass & other,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
23,Canada,1968,5.924124717,1.449870944,Hydropower,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
24,Canada,1968,5.924124717,0.009377419,Nuclear Energy,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
25,Canada,1968,5.924124717,2.771255255,Oil,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
26,Canada,1968,5.924124717,0.0,Solar,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
27,Canada,1968,5.924124717,0.0,Wind,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
28,Canada,1969,6.283252246,0.660132766,Coal,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
29,Canada,1969,6.283252246,0.0,Geo Biomass & other,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
30,Canada,1969,6.283252246,1.603565812,Hydropower,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
31,Canada,1969,6.283252246,0.005403764,Nuclear Energy,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
32,Canada,1969,6.283252246,2.885563135,Oil,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
33,Canada,1969,6.283252246,0.0,Solar,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
34,Canada,1969,6.283252246,0.0,Wind,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
35,Canada,1970,6.726827993,0.708741486,Coal,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
36,Canada,1970,6.726827993,1.944585919,Natural gas,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
37,Canada,1970,6.726827993,0.0,Geo Biomass & other,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
38,Canada,1970,6.726827993,1.683393836,Hydropower,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
39,Canada,1970,6.726827993,0.010593011,Nuclear Energy,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
40,Canada,1970,6.726827993,3.077280998,Oil,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
41,Canada,1970,6.726827993,0.0,Solar,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
42,Canada,1970,6.726827993,0.0,Wind,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
43,Canada,1971,6.937723588,0.673656106,Coal,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
44,Canada,1971,6.937723588,2.1259799,Natural gas,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
45,Canada,1971,6.937723588,0.0,Geo Biomass & other,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
46,Canada,1971,6.937723588,1.729423523,Hydropower,North America,High income,2142470000000,$2.142 trillion,0.0125,39299105,54517,0.0202
